store,url,title,price,compared price,compared to,buy
deboerdrachten,https://www.deboerdrachten.nl/product/mkbdhp486rtj/makita-18-v-klopboor-schroefmachine,Makita 18 V Klopboor-/schroefmachine DHP486RTJ,"462,26",325,DHP486RTJ,no
deboerdrachten,https://www.deboerdrachten.nl/product/mktvc3012m/makita-230-v-stofzuiger-m-klasse-vc3012m,Makita 230 V Stofzuiger M-Klasse VC3012M,"518,98",400,VC3012M,no
boer-staphorst,https://www.boer-staphorst.nl/dbo480z-18-v-handpalm-vlakschuurmachine-in-doos-0088381760720,Handpalm vlakschuurmachine DBO480Z 18 V,"143,99",85,DBO480Z,no
boer-staphorst,https://www.boer-staphorst.nl/ddf484zj-18-v-boor-schroefmachine-0088381826525,Boor-/schroefmachine DDF484ZJ 18 V (zonder accu en lader),"168,19",95,DDF484ZJ,no
boer-staphorst,https://www.boer-staphorst.nl/dtd153zj-18-v-slagschroevendraaier-0088381824026,Slagschroevendraaier DTD153ZJ 18 V (zonder accu en lader),"187,55",105,DTD153ZJ,no
boer-staphorst,https://www.boer-staphorst.nl/dbo180zj-18-v-excenter-schuurmachine-0088381658638,Excenter schuurmachine DBO180ZJ 18 V (zonder accu en lader),"199,65",105,DBO180ZJ,no
boer-staphorst,https://www.boer-staphorst.nl/dga504z-haakse-slijper-body-0088381683920,Haakse slijper DGA504Z 125 mm 18 V (zonder accu en lader),"211,75",100,DGA504Z,no
boer-staphorst,https://www.boer-staphorst.nl/dga504zj-18-v-haakse-slijper-125-mm-0088381683951,Haakse slijper DGA504ZJ 125 mm 18 V (zonder accu en lader),"228,69",120,DGA504ZJ,no
boer-staphorst,https://www.boer-staphorst.nl/ddf484rtj-18-v-boor-schroefmachine-0088381826433,DDF484RTJ 18 v boor-/schroefmachine,"299,00",225,DDF484RTJ,no
boer-staphorst,https://www.boer-staphorst.nl/djv181zj-18-v-decoupeerzaag-t-model-0088381650946,Decoupeerzaag DJV181ZJ 18 V (zonder accu en lader),"313,39",180,DJV181ZJ,no
